ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
5819,900759679,DISTRIBUIDORA HINO DE COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,COTA-CUNDINAMARCA,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,43828928,2850212,61832237,12087406,49744831,54978303.0,-1965568.0,65680780.0,18786161.0,46894619.0,5819
5820,830037039,FERRETERIA LUIS PENAGOS SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4742 - Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados",COMERCIO,43818293,1157823,29344278,13748370,15595908,36578721.0,1349925.0,26326939.0,11288854.0,15038085.0,5820
5821,900824186,ORTOPEDICOS FUTURO COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,43801181,-893030,56484674,19197847,37286827,42264320.0,1448171.0,52163683.0,12769211.0,39394472.0,5821
5822,900923455,SUNTERRA S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,43795931,1061162,12201969,7326949,4875020,35842706.0,734839.0,19010714.0,15196856.0,3813858.0,5822
5823,822005514,SUIZE DISTRIBUCIONES SAS,SUPERSOCIEDADES,LLANOS ORIENTALES,META,VILLAVICENCIO-META,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,43783341,621619,7470353,2109850,5360503,41082905.0,486315.0,6659135.0,1920251.0,4738884.0,5823
5824,901154324,KM2 SOLUTIONS COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N8220 - Actividades de centros de llamadas (call center),SERVICIOS,43771516,1902263,16048141,6952283,9095858,38991519.0,1548116.0,16369634.0,9176039.0,7193595.0,5824
5825,890300918,SAGER S A S,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,CALI-VALLE,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,MANUFACTURA,43771383,103822,62124869,32005884,30118985,45735335.0,-1798835.0,63247289.0,33865687.0,29381602.0,5825
5826,830095563,CANACOL ENERGY COLOMBIA SAS EN REORGANIZACION,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO,43764746,79672802,594387949,105569154,488818795,73521448.0,4607488.0,630222477.0,137507966.0,492714511.0,5826
5827,808002473,AVICOLA DEL MAGDALENA S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,A0145 - Cría de aves de corral,AGROPECUARIO,43764745,5182029,72033494,17226537,54806957,34093398.0,2475254.0,67791348.0,21176639.0,46614709.0,5827
5828,806015162,GESTIÓN PHARMA SAS,SUPERSOCIEDADES,CARIBE,BOLÍVAR,CARTAGENA-BOLIVAR,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,43749899,2476143,30003204,21536498,8466706,31482467.0,1255926.0,22669868.0,16679304.0,5990564.0,5828
